preferredLabel;description
social pedagogy;Discipline combining the theory and practice of both education and care, seen from a holistic perspective.
organise game shoots;Plan shoots of game, such as grouse, pheasant or partridge. Prepare the invitations. Brief the participants before the shoot begins. Provide advice on gun safety and etiquette.
set up media integration systems;Set up different types of light, sound, image and movement control boards and related equipment like tracking systems, media servers and control software and hardware.
perform process control in the wearing apparel industry;Performs process control to wearing apparel products in order to assure mass production in an uninterrupted production manner. Control processes to ensure that processes are predictable, stable and consistent.
manage donated goods in second-hand shop;"Coordinate the donated goods in a second-hand store; select appropriate items for recycling or sale."
regulate cutting speed;Regulate the speed and depth of stone cutting by pulling the levers and turning the wheels.
use remote control equipment;Use a remote control to operate equipment. Watch the equipment closely while operating, and use any sensors or cameras to guide your actions.
Persian;The Persian language.
dig sewer trenches;Prepare trenches for sewer pipes. Dig judiciously according to plans, avoiding underground utility infrastructure. Brace the trench to prevent compaction of the sewer pipe. Fill the trench after the pipes have been installed.
APL;The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in APL.
advise on investment;Assess the customers economic goals and advise on the possible financial investments or capital investments to promote wealth creation or safeguarding.
calculate the productivity of the production of footwear and leather goods;Analyse the footwear and leather goods production capacity and collect information concerning human and technological resources. Follow the production process and make adjustments to the work methods and operative times according to the technical specification of the model, human resources and equipment. Optimise the production lines and increase the productivity.
batch tank types;Variety of batch tanks such as vertical batch tanks, vertical batch tanks, cone bottom batch tanks, cone bottom batch tanks, and batch tank lids and their correct operation according to requirements. 
drive helicopter under emergency conditions;Drive an emergency medical helicopter to deliver medical care where no ground vehicle can go, following strict procedures and national legislation.
perform puja;Perform the traditional functions and ceremonial rites dealing with worship in the Hindu religion.
advise patients on health and lifestyle issues;Advise patients on issues related to health and lifestyle, such as exercise, nutrition, and sleep habits.
reflexion;The way to listen to individuals, to summarise the major points and clarify what they are feeling in order to help them reflect on their behaviour.
evaluate writings in response to feedback;Edit and adapt work in response to comments from peers and publishers.
implement environmental action plans;Apply plans that address the management of environmental matters in projects, natural site interventions, companies, and others.
install PVC piping;Lay different types and sizes of PVC piping in prepared spaces. Cut the piping to size and attach it by using glue or other systems. Make sure the piping has a clean edge, is free of strains and has the right tilt for fluids to run through.
assist with self-medication;Assist individuals with disability in taking their medication at appropriate times of the day.
rail project financing;Thoroughly understand the ways in which railway projects are financed, such as public, private, and public-private partnership financing, including all the type of stakeholders that may be involved.
adapt to artists creative demands;Work with artists, striving to understand the creative vision and adapting to it. Make full use of your talents and skills to reach the best possible result.
specialise in an area of history;Specialise in a specific field of history, do research on topics relevant to collections, determine which items should be retained or acquired, and how they should be preserved and displayed.
install heating boiler;Place heating, ventilation, air conditioning and refrigeration boilers, which heats up water and circulates it through a closed radiator system to distribute heat around a structure. Connect the boiler to a source of fuel or electricity and to the circulation system. Connect it to the water supply if it features an automatic filling system. Configure the boiler.
maintain vehicle appearance;Maintain vehicle appearance by washing, cleaning and performing minor adjustments and repairs.
organise weight of loads according to lifting equipment capacity;Organise the weight of loads to prevent overloading and imbalances in lifting equipment.
advise on poisoning incidents;Advise patients or other medical staff on how to handle overdose and poisoning intake in the most efficient manner.
install drainage well systems;Install systems which are found in residential properties as well as in public properties such as on streets and public building rooftops, and which function to drain excess water from these areas. They function to aid in flood remediation, remove rain, and minimise risk from heavy storms, and subsequently transport the untreated water into nature.
participatory decision-making;The process of giving ownership of decisions taken in an organisation to all its stakeholders, in a manner that is open, transparent and inclusive.
hazardous waste types;The different types of waste which poses risks to the environment or public health and safety, such as radioactive waste, chemicals and solvents, electronics, and mercury-containing waste.
clean waste materials from machines;Clean waste materials from machine using the adequate equipment or appliances as to ensure smooth operations, avoid accidents, and maintain clean working place.
integrate community outreach;Integrate community outreach within conservation projects to encompass knowledge, social and emotional aspects of learning and engagement.
operate heart-lung machines;Utilise heart-lung machines to pump blood and oxygen through the patients body. Ensure patients are safe and correctly connected to the machine before surgery. Operate the heart-lung machine during surgery and monitor the patients vital functions. Disconnect the equipment after surgery.
draw up risk assessment;Assess risks, propose improvements and describe measures to be taken at the organisational level.
perform traffic sign maintenance;Install and secure road signs, and replace them if needed. Maintain traffic lights by resolving issues, replacing light bulbs and cleaning the glass covering. Control telematic systems for proper functioning.
perform church service;Perform the rites and traditions which are involved in a church service and leading communal worship, such as giving sermons, reading psalms and scriptures, singing hymns, performing eucharist, and other rites.
renew artistic practice;Stay informed on new trends and apply them on artistic experiences.
follow-up lab results;Analyse lab results and apply them by adapting the production process. Report, review and take appropriate measures if necessary.
human ear;The structure, functions and characteristics of the outer middle and inner ear, through which sounds are transferred from the environment to the brain.
operate bulldozer;Operate a tracked or wheeled bulldozer, a powerful piece of machinery equipped with a shovel-like blade used to move earth, rubble or other material over the ground.
use tools for shoe repair;Utilise hand and power tools, such as awls, hammers, automatic sole stitchers, heel-nailing machines and sewing machines, for the repair and maintenance of footwear, belts and bags.
manage trauma through surgical means;Manage trauma such as musculoskeletal, hand, and head injuries, taking responsibility for all phases of care of the injured patient.
national regulations on handling cargo;The national regulations governing the loading and unloading of cargo in ports within that country.
SQL;The computer language SQL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the American National Standards Institute and the International Organization for Standardization.
perform covert investigations;Perform investigative duties in a manner which ensures the private and covert nature of the operation, and that the investigator is not discovered by any parties which may negatively influence the investigation.
lottery equipment;Lottery matrices and betting systems where bets are placed together in a pool. 
types of heat pumps;Various types of heat pumps, used to produce heating, cooling and potable hot water making use of an energy source with low temperature and bringing it to a higher temperature.
set auction listing agreement;"Set up a contract executed by the auctioneer and the seller; list the terms of the agreement and the rights and responsibilities of every party involved."
evaluate retail food inspection findings;List, process and evaluate data gathered during retail food inspections undertaken in supermarkets or shops.
supervise spoken language learning;Conduct active, foreign language learning classes focused on speaking and evaluate students on their progress regarding pronunciation, vocabulary, and grammar through oral tests and assignments.
maintain relationships with doctors;Communicate with doctors in order to solve possible misunderstandings related to prescriptions, indications, etc.
inspect electronics supplies;Check electronics materials for damage, moisture, loss or other problems before using the material.
moderate in negotiations;Oversee negotiations between two parties as a neutral witness to ensure that the negotiations occur in a friendly and productive manner, that a compromise is reached, and that everything is compliant with legal regulations.
interact verbally in Gujarati;Communicate orally in Gujarati.
show professional responsibility;Ensure that other workers and clients are treated with respect and that appropriate civil liability insurance is in place at all times of instructing.
maintain reception area;Take care to organise and maintain the reception area to keep up appearances for incoming guests and visitors.
salon management;The managing aspects of running a cosmetology-related business, such as leadership, organisation, and communication.
types of lifts;Various types of lifts, based on their mode of operation, such as hydraulically powered lifts. Various lift operation schemes and configurations.
oncologic hormone therapy;The type of therapy used in treating cancer that stops the hormonal growth and effects of the cancer.
breed horses;Operate a suitable environment for horse breeding. Select and prepare the appropriate habitats for specific kinds of horses. Monitor the horses growth and health and ensure correct feeding. Determinate when the horses are ready for trade, training or other purposes.
perform small vessel navigation;Perform navigation of the vessel. Keep up to date nautical publications for safe navigation. Determine the vessels position and trace the tracks properly to ensure safety. Perform safe navigation, complying with regulations so as to avoid collisions, groundings, beaching and prevent marine pollution. Interpret weather reports using data obtained or provided to ensure the safety of the vessel. Apply radar information. Manage communications following maritime protocols.
repair leather goods;Adjust, treat, repair and replace broken or deteriorated parts of leather goods such as shoes, bags and gloves.
maintain linen operation;Keep daily operations of a linen stock, including its distribution, maintenance, rotation and storage.
make bids in forward auctions;Create and provide forward bids, taking into account possible special requirements such as refrigeration of goods or transport of potentially hazardous materials.
technical drawings;Drawing software and the various symbols, perspectives, units of measurement, notation systems, visual styles and page layouts used in technical drawings.
apply teaching strategies;Employ various approaches, learning styles, and channels to instruct students, such as communicating content in terms they can understand, organising talking points for clarity, and repeating arguments when necessary. Use a wide range of teaching devices and methodologies appropriate to the class content, the learners level, goals, and priorities.
provide advanced clinical practice in physiotherapy;Provide advanced clinical advice to individual clients or groups in relation to physiotherapy diagnosis and planning of complex interventions, supporting other physiotherapists in planning client care and in understanding the role and responsibilities of the advanced physiotherapist.
attention to detail;Performs tasks conscientiously and effectively, taking into account all their aspects, no matter how detailed they are.
lacquer wood surfaces;Apply one or several layers of lacquer to a wood surface to coat it. Use a roller and a brush for larger surfaces. Load the roller or brush with lacquer and coat the surface evenly. Make sure no debris or brush hairs stay on the surface.
forecast account metrics;Make predictions on the movement of account measurements and data which give insight into an organisations financial state in order to aid analyses and evaluate potential risks.
perform routine maintenance of ship engines;"Perform routine maintenance tasks on all ship engine systems; monitor engines to ensure they function within standard operating parameters."
answer incoming calls;Respond to customers inquiries and provide customers with appropriate information.
measure nutritional health status of patients;Review patient`s clinical information obtained through physician referral, laboratory reports and health records, conducting consultations with patients to obtain relevant information and assess their nutritional status.
liaise with architects;Facilitate communication and understanding between architects and other parties such as constructors, clients, and contractors with respect to the design of construction projects.
sell hardware;sell and provide customers with detailed information on hardware items, gardening tools, electrical equipment, plumbing supplies, etc.
rail disruption management;Thoroughly understand the conditions, causes, and effects of rail disruption or derailment, and of degraded mode operations including tasks and tools.
store design layout;Fundamentals in layout and store design in order to achieve an optimal product placement.
office equipment;The offered office machinery and equipment products, its functionalities, properties and legal and regulatory requirements.
plan supply chain logistics for footwear and leather goods;Plan, organise and monitor logistics and supply chain activities based on the footwear or leather goods companys main objectives regarding quality, cost, delivery, and flexibility.
maintain sensor equipment;Diagnose and detect malfunctions in sensor components, systems, and products using sensors and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing the components in clean, dust-free, and non-humid spaces.
advise superiors on military operations;Advise on the strategic decisions made by superiors on deployment, mission tactics, resource allocation or other military operation specifics, to help superiors reach a better decision and to provide them with any relevant information for a military operation or functioning of the military organisations in general.
promote education course;Advertise and market the programme or class you teach to potential students and the education organisation where you teach with the aim of maximising registration numbers and allocated budget.
assemble an artistic team;Bring together an artistic team, after identifying the needs, looking for candidates, conducting interviews and aligning on the conditions of the project.  
maintain students discipline;Make sure students follow the rules and code of behaviour established in the school and take the appropriate measures in case of violation or misbehaviour.
study craft trends;Research and study trends in crafting, in order to keep up with current designs and marketing strategies.
manage distribution channels;Oversee distribution channels with regards to the requirements of customers.
provide learning support;Provide the necessary support to students with general learning difficulties in literacy and numeracy to facilitate learning by assessing the learner’s development needs and preferences. Design formal and informal outcomes of learning and deliver materials that facilitate learning and development.
write Welsh;Compose written texts in Welsh.
weigh in motion system;Weigh in motion systems, which measure the weight of a vehicle passing over and may send out an alarm if the vehicle is overloaded or unbalanced.
minimise occupational hazards in dentistry practice;Understand and implement procedures to minimise occupational hazards in dentistry.
evaluate prospective foster parents;Interview the potential foster parents, running an extensive background check related to their medical, financial or criminal records, paying visits to their homes to ensure safe living conditions for the child to be placed under their guardianship and drawing objective and informed conclusions.
security in industrial buildings;Security procedures, characteristics, tasks and risks encountered in industrial areas such as factories, ports, warehouses and mines.
supervise hygiene procedures in agricultural settings;Ensure that hygiene procedures in agricultural settings are followed, taking into account the regulations of specific areas of action e.q. livestock, plants, local farm products, etc.
exercise self-control;Manage own feelings, needs and wants appropriately for the benefit of participants, clients or co-workers.
pattern grading;Know about cutting patterns accurately and grading the patterns to obtain the size series in case of mass production. Know how to mark notches, holes, seam allowances, and other technical specifications. Make adjustments and obtain the final patterns for cutting in order to compensate any identified problems during sampling.
teach industrial arts principles;Instruct students in the theory and practice of the industrial arts, namely metal and wood working, with the aim of assisting them in pursuing a future career in this field, more specifically in courses such as carpentry, metal construction, and technical drawing.
connect cylinders lines;Connect the lines between cylinders and manifold by using wrench.
hire human resources;Manage the process of hiring human resources, from identifying potential candidates to assessing the adequacy of their profiles to the vacancy.
design strategies for nuclear emergencies;Develop and oversee the implementation of strategies which aim to prevent equipment malfunctions, errors, and contamination risks in nuclear facilities, and which outline response actions in the event of a nuclear emergency.
inspect government policy compliance;Inspect public and private organisations to ensure proper implementation and compliance to government policies which apply to the organisation.
inventory management rules;The specific principles and techniques used in order to determine the approapriate level of inventory required.
oil sweetening processes;The techniques used to remove sulphur and mercaptans from hydrocarbon products, such as catalytic hydrodesulphurisation and merox.
manage crop maintenance functions;Plan and supervise planting, fertilising, and pest or weed control.
construction products;The offered construction materials, their functionalities, properties and legal and regulatory requirements.
provide facilities for animal grooming services;Provide appropriate facilities for animal grooming services. This includes selection of the types of equipment and ensuring hygiene and bio-security standards.
handle knives for cutting activities;Use various types of knives and cutters used in the cutting and deboning process. Use techniques for the usage of the knives. Selects the right knives for the job at hand. Take care of the knives.
security threats;Types of threats to public and private security such as unauthorised entry, aggressive behaviour, molestation, robbery, theft, assault, kidnapping, murder and public demonstration.
master disc manufacturing;The process used to create the mould needed for the production of compact discs. During this process, a plate of glass is polished, coated with a primer and a photoresistant coating, cured in an oven, etched with the data, and finally coated with a thin layer of nickel and vanadium.
assist the veterinary surgeon as a scrub nurse;Provide assistance in the handling of equipment and materials in a sterile manner during surgical procedures in operating theatre.
use microphone;Employ microphones to address audiences in a gathering. Perform basic technical operations to microphones for an adequate usage.
familiarise yourself with the work to be remounted;Getting familiar with the  work to be remounted, by consulting different sources (documentation, experts, technical crew, etc).
communication sciences;The practice and theory of communication systems, mass media, journalistic practices, and persuasive communication. It also includes the empirical methods utilized by communication scientists to acquire data such as interviews, surveys, and focus groups.
carry out forestry related measurements;Use measuring devices such as scale sticks to estimate the volume of timber in a forest, calculating the total number of trees that can be harvested, as well as the average amount of lumber or pulp wood an average tree can produce.
coordinate audio system programmes;Coordinate the requirements, integration, and installation of audio control system programs.
measure pollution;Conduct pollution measurements to determine whether the prescribed pollutant limits are respected. Check firing systems and exhaust paths of gas water heaters, air heaters, and similar equipment.
integrate and re-elaborate digital content;Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge.
cut stair carriages;Make cuts in a plank of solid wood to carry stair treads and risers. Take measurements and calculations into account to make markings on the carriage with a steel square. Cut the carriage using a power saw or hand saw.
apply massage oil;Administer oil on the client, either through sprays, salt baths, massage oils or inhalation techniques.
practice gestalt therapy;Use gestalt therapy techniques such as the empty chair technique and the exaggeration exercise in individual or group settings in the shape of creative exercises and experiments, aiming to make the individual understand different aspects of a conflict, experience, or mental health issue.
manage water distribution procedures;Ensure the supply systems are maintained and the operations occur efficiently and in compliance with regulations  to ensure proper distribution and supply of water from the facility.
metallurgy;The branch of science concerned with the study of the chemical and physical properties of metallic elements, intermetallic elements, and alloys.
transport dangerous goods;Classify, pack, mark, label and document dangerous goods, such as explosive materials, gases and flammable liquids. Adhere to international and national regulations.
ensure customer orientation;Understand what customers want and adopt a positive attitude when interacting with them, providing advices, selling products or services or processing complaints.
neonatology;The branch of paediatric medicine concerned with the diagnosis and treatment of the new-born.
describe artistic experience;Take into consideration other areas of expertise or experience and identify elements relevant to your artistic approach.
feed livestock;Calculate feed rations for all stages of growth and prepare, distribute and control quality of fodder
communicate with park visitors;Communicate with amusement park visitors whilst their ride is inoperative.
adjust weight of cargo to capacity of freight transport vehicles;Adapt weight of cargo to capacity of freight transport vehicles. Oversee the maximum load capacity of the vehicle in question and the weight of each individual crate in the shipment.
participate in games for player distribution;Participate in casino games to ensure the minimum amount of players at a given table.
teach tourism principles;Instruct students in the theory and practice of the subject travel and tourism, with the aim of assisting them in pursuing a future career in this field, and more specifically in topics such as tourism locations, customer service and booking techniques.
use automotive diagnostic equipment;Use diagnostic equipment to perform test on motor vehicles, components and systems to detect defects.
follow zoo safety precautions;Follow the zoo safety rules and regulations in order to ensure a safe working environment while working with the zoo animals, and to ensure the safety of zoo visitors.
handle shipment paperwork;Handle paperwork containing information on shipments and attached to goods about to be shipped. Ensure that identification information is complete, visible, and in compliance with all regulations. Check labels showing product counts, final destination, and model numbers.
collaborate with technical experts on artworks;Collaborate with engineers, mechanics, and other technical experts to build, install and move pieces of art.
perform technical tasks with great care;Avoiding possible risks and unwanted outcomes by watching carefully over all parts of a machine, device or vehicle and executing processes of production, maintenance or repair with great care.
maintain sprinkler systems;Repair and replace sprinkler system components: pumps, main feeder and lateral lines, sprinkler heads, valves, PVC pipes, controls, and electronically controlled water sensors. Replace low voltage wiring. Oversee sprinkler system maintenance.
perform auction chant;Perform bid calling and develop an individual style with filler words and variable speed of speech
types of cartridges;Field of information wich distinguishes different types of cartridges based on size, shape, ignition type and the propellant. An example is the change in the diameter of the bullet, or caliber.
moderate a discussion;Apply moderation techniques and methods to lead discussions between two or more people, including situations such as workshops, conferences or online events. Ensure the correctness and politeness of the debate.
develop the look of a production;Develop the overall look or style of a theatre, opera, television, or film set.
program sound cues;Program sound cues and rehearse sound states before or during rehearsals.
perform drainage work;Dig draining ditches and lay the pipe or gutter installation to allow evacuation of surplus liquid and avoid subsidence or other damage.
tend air-cleaning system;Operate machine that carries beans and grains through air-cleaning system to remove foreign matter.
pregnancy;The process related to conception and development of the fetus in the mother`s womb, the symptoms of pregnancy, risks and complications, diseases and timing of childbirth.
peer group methods;The techniques relevant for peer group education, where each member is encouraged to express or exchnage a particular type of behaviour or piece of information.
plan daily ship operations;Plan the day-to-day activities on board ships, including tasks related to navigational safety, cargo, ballast, tank cleaning and tank inspections.
pesticides;Types of chemical characteristics of pesticides and their adverse human and environmental effects.
survey techniques;Techniques on how to identify a target audience, choose the right survey method and analyse the data.
interpret law;Interpret the law during the investigation of a case in order to know the correct procedures in handling the case, the specific status of the case and the parties involved, the possible outcomes, and how to present the best arguments for the most favourable outcome.
inform tourist groups on logistical times;Brief groups of tourists on departure and arrival times as part of their itinerary.
develop geological databases;Develop geological databases in order to acquire and organise information.
screen printing machines;The different types of screen printing presses such as the cylinder press, the flat-bed press, and most importantly the rotary press.
manage cultural facility;Manage the daily operations of a cultural facility. Organise all activities and coordinate the different departments functioning within a cultural facility. Develop a plan of action and arrange the necessary funds.
interpret requests for imaging examinations;Receive and interpret requests from medical practitioners for imaging examinations to be performed on patients.
patch clay products;Patch damaged products using handtools and patch clay.
perform contract compliance audits;Execute a thorough contract compliance audit, ensuring that goods or services are being delivered in a correct and timely fashion, checking for clerical errors or missed credits and discounts and starting procedures for cash recovery.
speak dialect;Interact with customers in local dialect.
advise on irrigation projects;Advise on the construction of irrigation projects. Review contractor orders to ensure the compatibility of the design with installation concepts and pre-existent grounds master plan. Monitor the contractors work.
transfer glaze;Transfer the processed glaze from the mill to the storage jars.
control train arrivals;Monitor and control arrival of trains into train stations. Check inbound trains according to their departure station.
ensure efficient utilisation of warehouse space;Pursue an effective use of warehouse space ensuring maximum efficiency while meeting environmental and budgetary goals.
write Macedonian;Compose written texts in Macedonian.
handle explosives;Handle explosives in accordance with explosives law, including tracking and control of the magazine.
oversee pre-assembly operations;Organise and oversee the arrangements preceding the assembly of manufactured products, mostly taking place in factories, including their installation in assembling locations such as construction sites.
use object-oriented programming;Utilise specialised ICT tools for programming paradigm based on the concept of objects, which can contain data in the form of fields and code in the form of procedures. Use programming languages which support this method such as JAVA and C++.
apply HACCP;Apply regulations regarding manufacture of food and food safety compliance. Employ food safety procedures based on Hazard Analysis Critical Control Points (HACCP).
develop inclusive communication material;Develop inclusive communication resources. Provide appropriate accessible digital, print and signage information and apply the appropriate language to support the representation and inclusion of people with disabilities. Make websites and online facilities accessible, e.g., ensuring compatibility with screen readers.
prepare meals for flights;Prepare meals and drinks according to the menu specifications of an airline company.
maintain welfare of animals during transportation;Keep the health and welfare of animals during transportation, including frequent monitoring for signs of stress and symptoms of ill health.
carry out recruiting services;Attract, screen, select and haul on board persons fit for a job.
use rigging equipment;Set up rolling and lifting equipment required to lift and move objects e.g. with a crane or block and tackle system.
marketing management;The academic discipline and function in an organisation which focuses on the market research, market development, and the creation of marketing campaigns to raise awareness on the companys services and products.
treat patients nails;Use a nail drill to reduce thickening toenails and remove debris from their sulci by inserting nail packs.
load picked fruits and vegetables;Load picked fruit and vegetables into a container of the appropriate size, taking care to avoid damage.
book reviews;A form of literary criticism in which a book is analyzed based on content, style, and merit in order to assist customers in their choices of books.
teach philosophy;Instruct students in the theory and practice of philosophy, and more specifically in topics such as morality, philosophers throughout history, and philosophical ideologies.
transcribe medical data;Listen to the recordings of the healthcare professional, write the information down and format it into files.
organise compositions;Arrange and adapt existing musical compositions, add variations to existing melodies or compositions manually or with the use of computer software. Redistribute instrumental parts.
commodities in maritime transportation;Knowledge of the most important commodities in maritime transportation, i.e. oil, grain, ore, coal and fertilisers, and their characteristics and subdivisions.
show an exemplary leading role in an organisation;Perform, act, and behave in a manner that inspires collaborators to follow the example given by their managers.
object-oriented modelling;The object-oriented paradigm, which is based on classes, objects, methods and interfaces and their application in software design and analysis, programming organisation and techniques.
translate tags;Interpret and translate tags from one language to another striving for accuracy in the target language.
protect wilderness areas;Protect a wilderness area by monitoring uses and enforcing regulations.
dispose soot from the sweeping process;Dispose and transport soot from the sweeping process in an appropriate manner and according to local and national regulations.
supply rigging equipment;Supply equipment to rig floors as requested, and provide assistance to roughnecks.
maintain facility security systems;Ensure that proper and functional security systems are in place, including alarm systems, fire alarms, sprinklers and emergency exits.
perform test in cigarette-making machine;Test a sample from cigarette-making machine for the weight of each cigarette.
calculate solar panel orientation;Calculate the optimal placement of solar panels. Take into account the longitude, seasonal insolation values, the direction of true south, and the placement of any shadow-casting structures in order to find the best location and inclination for the panels.
use power tools;Operate power driven pumps. Use hand tools or power tools. Use vehicle repair tools or safety equipment.
develop wildlife programs;Educate the public and respond to requests for aid and information about an areas wildlife.
Azerbaijani;The Azerbaijani language.
plan the work of teams and individuals;Plan the work of teams and individuals. Assess the work of teams and individuals. Provide feedback to teams and individuals on work carried out. Support and mentor individuals and teams. Prepare work instructions for new tasks.
fill tile joints;Use grout, silicone paste, mastic or other appropriate material to fill the joints between tiles. Spread the mixture onto the tiles using a padded trowel or float. Make sure the mixture is worked into the joints before removing excess material. Use a diagonal motion to avoid scooping material from the joints. Wash material from the front of the tiles and buff the tiles to finish.
government policy;The political activities, plans, and intentions of a government for a legislative session for concrete causes.
test chemicals in development baths;Use specialised equipment to test the chemicals in the baths of a film developing machine in order to make sure that they are working properly.
characteristics of waste;Expertise in the different types, the chemical formulas and other characteristics of solid, liquid and hazardous waste.
measure pH;Measure acidity and alkalinity of beverages.
breed snails;Prepare a suitable environment for snail breeding. Select and prepare the appropriate habitats for specific kinds of snails. Monitor the snails growth and health and ensure correct feeding. Identify when the snails are ready for consumption, scientific or other purposes.
assembling processes and techniques for california footwear construction;Technology, equipment, machines and tools for assembling california footwear construction type.
customise guns;Make modifications or attach custom-made components on guns based on the wishes of a particular customer.
use specialised tools in electric repairs;"Use of a variety of specialised tools, instruments and machines, such as presses, drills and grinders; employ them to carry out repairs in a safety manner."
debt classification;The different classifications of debt such as public and publicly guaranteed debt, private non-guaranteed credits, central bank deposits, etc.
deliver leaflets;Put leaflets, flyers and advertising materials into mailboxes. Make sure you cover the entire area assigned to you.
apply knowledge of science, technology and engineering;Develop and apply an understanding of the physical world and its governing principles, for example by making reasonable predictions about causes and effects, conceiving tests of these predictions and carrying out measurements using suitable units, tools and equipment.
synchronise with mouth movements;Synchronise sound recording with the mouth movements of the original actor.
process spatial information;Be able to mentally imagine the position and relationship of bodies in three-dimensional spaces, developing a good sense of proportion.
demonstrate good manners;Engage with others according to the normal customs and expectations of contemporary social behaviour, appropriate to the context.
warehousing regulations;"Know and comply with local warehousing laws and regulations; stay up-to-date by studying existing and new legislation."
advise on medical records;Act as a consultant to medical staff by providing advice on medical records policies.
contract law;The field of legal principles that govern written agreements between parties concerning the exchange of goods or services, including contractual obligations and termination.
diagnose aquatic animals disease symptoms;Observe and describe symptoms and lesions of fish, molluscs, and crustaceans. Monitor abnormal fish behaviour in feeding, swimming, and surfacing.
WebCMS;The web-based software systems used for creating, editing, publishing and archiving blogs, articles, web pages or press releases which are mostly managed by users with limited web programming knowledge.
plan menus;Organise menus taking into account the nature and style of the establishment, client feedback, cost and the seasonality of ingredients.
follow up complaint reports;Follow up complaints or accident reports in order to take adequate measures to solve problems. Contact the relevant authorities or internal staff to provide solutions in various situations.
treat nails;Wrap nails to repair them or make them stronger and more resilient. Soften, trim or push back nail cuticles and provide treatment to people who bite their nails.
examine lumber;The process of examining lumber on tables, moving belts, and chain conveyors to visually check for knots, holes, splits, and other possible defects.
tend mixing oil machine;Use machines to weigh and mix vegetable oils for products, such as salad oils, shortening and margarine, according to formula.
use ICT resources to solve work related tasks;Choose and use ICT resources in order to solve related tasks.
demonstrate functionality of software products;Demonstrate to customers the features and functionalities of software products.
elective astrology;The branch of horoscopic astrology where astrologers predict a favourable moment for a certain event, based on the interpretation of astrological auspiciousness of that moment.
conduct extensive international travel;Conducting extensive travelling around the world to performing business related tasks.
create technical plans;Create detailed technical plans of machinery, equipment, tools and other products.
synthesise financial information;Collect, revise and put together financial information coming from different sources or departments in order to create a document with unified financial accounts or plans.
identify parts requested by customers;"Ask the client questions in order to identify the specific parts he needs, taking into account the car type and year of construction; search for the exact parts described."
respect the diversity of cultural values and norms;Demonstrate intercultural competence and respect for ones own cultural values and norms. Show tolerance of and appreciation for the different values and norms held by different people and cultures and developed under different circumstances or in different times and places.
adapt to new technology used in cars;"Adapt to new technology integrated in cars; understand systems operation and provide troubleshooting."
manage online volunteers;Manage a team of volunteers that are working online, recruiting them via online tools and facilitating online meetings to establish goals and evaluate their activities.
mix concrete;Use compact concrete mixers or various ad-hoc containers such as wheelbarrows to mix concrete. Prepare the correct quantities of cement, water, aggregate and optional added ingredients, and mix the ingredients until an homogenous concrete is formed.
initiate life preserving measures;Initiate life-preserving actions by taking measures in crises and disaster situations.
cope with uncertainty;Tolerate and work constructively within unexpected and unpredictable situations.
collect reproductive cells;Properly collect eggs and sperm from patients in order to process them for fertility purposes.
forecast distribution activities;Interpret data in order to identify future trends and actions in distribution.
manufacture cosmetics;Prepare cosmetic products, possibly customised for customers with specific needs, such as lotions, soaps, face masks or salves.
perform soundchecks;Test the sound equipment of a venue to ensure smooth operation during the performance. Cooperate with performers to make sure the venue equipment is adjusted for the requirements of the performance.
create credit policy;Create guidelines for a financial institutions procedures in supplying assets on credit, such as the contractual agreements which have to be made, the eligibility standards of prospective clients, and the procedure for collecting repayment and debt.
purchase stage weapons;Acquire weapon props to be used for live performances.
dispose of sewage sludge;Operate equipment to pump the sewage sludge and store it into containers in order to transform the gases it emits into energy. After this phase, dry the sludge and evaluate its potential reuse as fertilizer. Dispose of the sludge if it contains hazardous elements.
advise customers on eyewear maintenance;Provide customers with detailed advice on the correct use and maintenance of eyewear.
perform video editing;Rearrange and edit video footage in the course of the post-production process. Edit the footage using a variety of sofware, tools, and techniques such as colour correction and effects, speed effects, and audio enhancing.
assess felled timber volume;Measure the amount of timber felled using appropriate equipment. Take care of the equipment. Record the measured data.
fill the vat with specific ingredients;Fill the vat with the necessary ingredients for acid neutralisation starting with warm water and steam of air and finishing with soda ash.
verify feasibility;Interpret an artistic plan and verify whether the described design can be executed.
communicate using the global maritime distress and safety system;Send an alert in case of distress, using any of the various GMDSS radio systems such that the alert has a very high probability of being received by either shore rescue authorities and/or other vessels in the area.
assess animals condition;Inspect the animal for any external signs of parasites, disease or injury. Use this information to determine own actions and report your findings to owners.
evaluate performance of organisational collaborators;Evaluate the performance and results of managers and employees considering their efficiency and effectivity at work. Consider personal and professional elements.
